Time Stamp,Energy Output (kWh),Global Horizontal Irradiance GHI,Direct Normal Irradiance Dni,Diffuse Horizontal Irradiance DHI,Air Temperature,Wind Direction At 3 Meter,Wind Speed At 3 Meter,Relative Humidity,Barometric Pressure,Source,Region
2014-07-01 00:00:00+03:00,1730.8339200000005,7856.0,8770.0,1504.0,32.4,260.0,2.4,52.8,1002.0,Duba Technical Institute Station,North
2014-08-01 00:00:00+03:00,1652.84064,7502.0,8789.0,1301.0,31.5,15.0,5.9,50.6,1003.1,Saline Water Conversion Corporation (Hagl) Station,North
2014-08-01 00:00:00+03:00,1610.5392000000002,7310.0,8107.0,1535.0,32.6,269.0,2.2,52.4,1001.6,Duba Technical Institute Station,North
2014-08-01 00:00:00+03:00,1687.21056,7658.0,8143.0,1809.0,33.8,274.0,2.4,17.6,913.6,Timaa Technical Institute,North
2014-09-01 00:00:00+03:00,1471.7376,6680.0,8212.0,1224.0,31.4,297.0,2.6,52.1,1004.5,Duba Technical Institute Station,North
2014-09-01 00:00:00+03:00,1452.12912,6591.0,8100.0,1247.0,29.3,15.0,7.4,54.5,1007.0,Saline Water Conversion Corporation (Hagl) Station,North
2014-09-01 00:00:00+03:00,1517.34384,6887.0,8018.0,1525.0,30.2,40.0,2.3,23.1,916.2,Timaa Technical Institute,North
2014-10-01 00:00:00+03:00,1207.13328,5479.0,6482.0,1616.0,25.9,276.0,2.1,25.4,919.0,Timaa Technical Institute,North
2014-10-01 00:00:00+03:00,1170.33984,5312.0,7001.0,1224.0,26.5,20.0,6.6,52.5,1010.5,Saline Water Conversion Corporation (Hagl) Station,North
2014-10-01 00:00:00+03:00,1170.56016,5313.0,6826.0,1292.0,28.2,298.0,2.3,49.0,1008.6,Duba Technical Institute Station,North
2014-11-01 00:00:00+03:00,1016.33616,4613.0,6965.0,998.0,25.1,327.0,2.5,40.8,1011.3,Duba Technical Institute Station,North
2014-11-01 00:00:00+03:00,1048.7232,4760.0,7076.0,1094.0,18.4,120.0,2.2,35.4,921.2,Timaa Technical Institute,North
2014-11-01 00:00:00+03:00,942.52896,4278.0,6210.0,1138.0,22.8,24.0,6.0,48.3,1013.3,Saline Water Conversion Corporation (Hagl) Station,North
2014-12-01 00:00:00+03:00,884.5848,4015.0,6093.0,1074.0,23.7,333.0,2.3,43.5,1013.1,Duba Technical Institute Station,North
2014-12-01 00:00:00+03:00,804.3883199999999,3651.0,5592.0,1039.0,20.7,27.0,5.9,53.4,1015.0,Saline Water Conversion Corporation (Hagl) Station,North
2014-12-01 00:00:00+03:00,882.82224,4007.0,5831.0,1219.0,16.7,143.0,2.1,47.1,922.6,Timaa Technical Institute,North
2015-01-01 00:00:00+03:00,942.52896,4278.0,6188.0,1210.0,19.5,313.0,2.3,43.1,1015.4,Duba Technical Institute Station,North
2015-01-01 00:00:00+03:00,825.3187200000001,3746.0,5148.0,1232.0,17.1,20.0,5.4,49.8,1016.8,Saline Water Conversion Corporation (Hagl) Station,North
2015-01-01 00:00:00+03:00,990.99936,4498.0,6585.0,1268.0,12.9,247.0,2.1,36.5,922.6,Timaa Technical Institute,North
2015-02-01 00:00:00+03:00,1030.43664,4677.0,5550.0,1564.0,18.6,10.0,6.1,48.6,1012.3,Saline Water Conversion Corporation (Hagl) Station,North
2015-02-01 00:00:00+03:00,1141.2576,5180.0,5870.0,1832.0,16.4,250.0,2.5,32.2,918.9,Timaa Technical Institute,North
2015-02-01 00:00:00+03:00,1065.02688,4834.0,5324.0,1735.0,21.0,290.0,2.4,46.3,1011.1,Duba Technical Institute Station,North
2015-03-01 00:00:00+03:00,1315.97136,5973.0,6073.0,1967.0,24.8,298.0,2.7,41.8,1009.4,Duba Technical Institute Station,North
2015-03-01 00:00:00+03:00,1336.02048,6064.0,6640.0,1783.0,22.1,20.0,7.7,47.5,1011.9,Saline Water Conversion Corporation (Hagl) Station,North
2015-03-01 00:00:00+03:00,1400.79456,6358.0,6016.0,2366.0,20.2,89.0,2.8,28.0,919.3,Timaa Technical Institute,North
2015-04-01 00:00:00+03:00,1646.67168,7474.0,7355.0,2193.0,25.5,294.0,2.9,39.4,1009.4,Duba Technical Institute Station,North
2015-04-01 00:00:00+03:00,1616.70816,7338.0,7507.0,1995.0,23.4,15.0,6.7,44.4,1011.3,Saline Water Conversion Corporation (Hagl) Station,North
